time,strike_price,stock_price,volatility,interest_rate,type_o1,price_o1,delta_o1,gamma_o1,theta_o1,type_o2,price_o2,delta_o2,gamma_o2,theta_o12
1.94002,44.73,1.5,0.5732,0.0909,call,0.00003446,0.00014037,0.00045426,-0.00018391,put,35.99838903,-0.99985963,0.00045426,3.40841652
1.493695,346.92,96.87,0.6909,0.007,call,4.24708115,0.14091173,0.00273312,-6.18703006,put,250.6886301,-0.85908827,0.00273312,-3.78384921
1.064463,292.88,188.56,0.7094,0.046,call,30.36315302,0.43298196,0.00284982,-27.85470903,put,120.68764,-0.56701804,0.00284982,-15.02602263
0.122947,233.89,232.5,0.1734,0.0611,call,5.81632654,0.52229569,0.02817735,-29.96310341,put,5.45591326,-0.47770431,0.02817735,-15.77937467
0.003312,29.32,4.32,0.9482,0.0417,call,0,0,0,0,put,24.99595088,-1,0,1.22247515
1.654063,97.37,276.31,0.5422,0.0264,call,185.843313,0.97174017,0.00033604,-5.95326614,put,2.74292891,-0.02825983,0.00033604,-3.49253228
1.692075,136.83,17.37,0.3737,0.0301,call,0.00008488,0.00004849,0.0000237,-0.00052208,put,112.665628,-0.99995151,0.0000237,3.91354776
0.450413,335.01,450.79,0.5572,0.0126,call,134.6450583,0.84036186,0.00144122,-48.54090486,put,16.96919304,-0.15963814,0.00144122,-44.34366677
0.253478,281.36,58.24,0.6425,0.0882,call,0.00000616,0.00000176,0.00000045,-0.00032421,put,216.8995025,-0.99999824,0.00000045,24.26697937
1.98362,62.01,380.73,0.4642,0.0201,call,321.2069587,0.99922107,0.00001075,-1.35834624,put,0.0632121,-0.00077893,0.00001075,-0.16066254
1.916304,130.78,102.49,0.4739,0.0488,call,20.89416097,0.53943155,0.00590448,-8.642803,put,37.50861666,-0.46056845,0.00590448,-2.83050556
1.07414,404.78,217.58,0.852,0.0531,call,38.24700604,0.42194734,0.00203658,-37.83762254,put,203.0057101,-0.57805266,0.00203658,-17.53543735
1.791063,278.53,375.1,0.6258,0.0857,call,180.7924149,0.83082941,0.00080299,-33.33713972,put,44.58921848,-0.16917059,0.00080299,-12.86368365
0.672958,468.1,199.63,0.9115,0.0134,call,14.11418603,0.22548676,0.00201164,-33.71716252,put,278.3820054,-0.77451324,0.00201164,-27.50093174
1.027441,403.87,442.36,0.4234,0.0758,call,108.8996863,0.72845972,0.00174659,-46.80605097,put,40.14988935,-0.27154028,0.00174659,-18.48639757
0.171,86.72,404.99,0.3907,0.0436,call,318.9141454,1,0,-3.75290726,put,0,0,0,0
1.605362,295.61,33.13,0.5428,0.0254,call,0.01555863,0.00272526,0.00036822,-0.06143694,put,250.6841562,-0.99727474,0.00036822,7.14704744
