time,strike_price,stock_price,volatility,interest_rate,type_o1,price_o1,delta_o1,gamma_o1,theta_o1,type_o2,price_o2,delta_o2,gamma_o2,theta_o12
1.56256109,253.2874272,494.5921003,0.28067572,0.05757764,call,263.7323898,0.99033848,0.00014904,-14.45329137,put,0.63484272,-0.00966152,0.00014904,-1.12438209
1.79754096,295.6491914,431.6851177,0.20178695,0.09667952,call,183.8665456,0.98525114,0.00031959,-24.55595054,put,0.66784642,-0.01474886,0.00031959,-0.53240294
0.39088871,157.8576457,239.7249624,0.71731031,0.07197626,call,93.37687845,0.88849779,0.00176609,-34.72074462,put,7.13017842,-0.11150221,0.00176609,-23.67395358
1.90653958,120.6568112,389.3187979,0.22505966,0.01420384,call,271.8864256,0.99996991,0.00000105,-1.67186766,put,0.00087562,-0.00003009,0.00000105,-0.0038651
1.81725936,13.11112544,29.01927023,0.50688439,0.06030899,call,17.79423755,0.95202054,0.0050326,-1.13744471,put,0.52509446,-0.04797946,0.0050326,-0.42880639
1.61249101,37.81419135,386.1172848,0.18596829,0.06879082,call,352.2733474,1,0,-2.32815226,put,0,0,0,0
1.06105389,161.5602973,249.0644546,0.69031335,0.08557345,call,119.180058,0.86256843,0.00124101,-26.52815802,put,17.65280906,-0.13743157,0.00124101,-13.90288987
0.73558207,219.8146189,279.439688,0.53177066,0.08936059,call,89.80118268,0.81551194,0.00209084,-35.42360414,put,16.19188887,-0.18448806,0.00209084,-17.03047839
0.98616334,184.9224853,151.3326508,0.08335889,0.05569557,call,0.21346764,0.04302093,0.00729689,-0.93131504,put,23.92034287,-0.95697907,0.00729689,8.81761086
1.57234431,14.69605618,365.5067293,0.50904715,0.0801868,call,352.5515213,0.99999999,0,-1.03884222,put,0.00000062,-0.00000001,0,-0.00000555
1.22132773,396.3570187,19.78047177,0.86651469,0.08866753,call,0.02613722,0.00556811,0.00084005,-0.13084341,put,335.9227502,-0.99443189,0.00084005,31.40616539
0.98872677,230.5982308,196.6374198,0.75575989,0.08364009,call,52.35409094,0.60787639,0.00260043,-34.33408102,put,68.01229108,-0.39212361,0.00260043,-16.57765567
1.99874196,108.9638702,158.2341443,0.31419886,0.08588146,call,69.25490487,0.92624339,0.00198838,-9.09678015,put,2.79773792,-0.07375661,0.00198838,-1.21483897
